judul,penyanyi,tahun_rilis,label,genre,lirik,link
Tuhan Tak Diam,Putri Ayu,2020,Impact Music,Pop,Ketika badai hidup datang menghadang hingga tak sedikit tenggelam karenanya. Kepada siapakah kami datang berharap? Hanya pada-Mu kami berserah. Ooohhh.. Saatnya kita bersama mengangkat tangan menyembah. Tuhan tak diam Dia mendengar setiap seruan doa. Dalam kasih-Mu kami merasa tenang ada penghiburan dan kekuatan.Hanya pada-Mu Tuhan Kami selalu bersandar Hingga saatnya Dia pulihkan semua Saatnya kita bersama Satukan hati melangkah Ini saatnya kita menjadi Berkat bagi dunia menjadi tangannya, https://www.youtube.com/watch?v=7GH4W5oqOwk&ab_channel=ImpactMusicIndonesia
Waktu Tuhan,NDC Worship,2022,NDC Worship,Pop,"Bila Kau ijinkan sesuatu terjadi Ku percaya semua untuk kebaikanku Bila nanti telah tiba waktu-Mu Ku percaya kuasa-Mu Memulihkan hidupku Waktu Tuhan pasti yang terbaik Walau kadang tak mudah dimengerti Lewati cobaan, ku tetap percaya Waktu Tuhan pasti yang terbaik", https://www.youtube.com/watch?v=inGJFNRyAwQ&ab_channel=NDCWorship
Kunyanyi Haleluya,Symphony Worship Family,2015,Symphony Worship,Pujian dan Penyembahan,"Bapa ku datang menyembah-Mu di sini. Ku percaya Kau ada bagiku Tak usah ku takut sebab Kau sertaku Tak usah ku bimbang, Kau di dalamku Tak usah ku cemas, Kau penghiburku Saat ku lemah, Kau kuatku. Ku nyanyi haleluya, Ku nyanyi haleluya, Sungguh Kau hebat Ajaib perkasa perbuatan-Mu",https://www.youtube.com/watch?v=uAzf_0RQZtQ&ab_channel=SymphonyWorshipFamily
Roh Kudus,Melitha Sidabutar,2023,Impact Music,Pop,"Roh Allah yang hidup Urapi aku Tuntun langkah hidupku Bentuk hatiku Penghibur, Penolong. Penuh kasih dan sayang Roh Kudus yang manis, Kau cahaya hatiku",https://www.youtube.com/watch?v=0w5pDTxJyRc&ab_channel=ImpactMusicIndonesia  
El Shaddai medley S'bab Kau Besar Tuhan,GMS Jabodetabek,2021,GMS Jabodetabek,Pujian dan Penyembahan,"Tak usah 'ku takut Allah menjagaku, Tak usah 'ku bimbang Yesus p'liharaku, Tak usah 'ku susah Roh Kudus hiburku, Tak usah 'ku cemas Dia memberkatiku (Chorus): El Shaddai, El Shaddai Allah Mahakuasa Dia besar, Dia besar El Shaddai mulia... El Shaddai, El Shaddai Allah Mahakuasa Berkat-Nya berlimpah El Shaddai. S'bab Kau besar, Tuhan Lebihi langit S'bab Kau besar, Tuhan Lebih dari segalanya S'bab Kau besar, Tuhan'Ku dapat lakukan Segala perkara sesuai rencana-Mu", https://www.youtube.com/watch?v=wCAywL32RLM&ab_channel=GMSJakartaJawaBaratBanten
Hidup Ini Adalah Kesempatan,Joy Tobing,2018,Joy Record Production,Pop,"Hidup ini adalah kesempatan Hidup ini untuk melayani Tuhan Jangan sia-siakan waktu yang Tuhan beri Hidup ini hanya sementara. Sekuntum bunga di pagi hari Mekar indah di padang yang hijau Demikian Tuhan mendandani rumput. Gugur bunga bila panas terik O Tuhan, pakailah hidupku Selagi aku masih kuat, Bila saatnya nanti aku tak berdaya. Hidup ini sudah jadi berkat",https://www.youtube.com/watch?v=Y1J4pOVb3rY&ab_channel=JoyRecordProduction
Allah Roh Kudus,GMS Live,2021,GMS Live,Pop,Yesus Tuhan ditinggikan Dimuliakan dan naik ke surga Dia berikan Roh Kudus-Nya Menguatkan dan menolong s'lalu. Pre-Chorus: Sungguh ku rindu Bersekutu dengan-Mu Selamanya. Chorus: Allah Roh Kudus jamah hatiku Dengan urapan-Mu. Rindu selalu dekat dengan-Mu Diam di hadirat-Mu, https://www.youtube.com/watch?v=3V6oxYOZFK0&ab_channel=GMSChurch
KJ 026 – Mampirlah Dengar Doaku,Dida Devina,2018,Ignite GKI,Penyembahan, Mampirlah dengar doaku Yesus Penebus. Orang lain Kau hampiri jangan jalan t’rus. Yesus Tuhan dengar doaku orang lain Kau hampiri jangan jalan t’rus Di hadapan takhta rahmat aku menyembah tunduk dalam penyesalan. Tuhan tolonglah Yesus Tuhan dengar doaku orang lain Kau hampiri jangan jalan t’rus. Ini saja andalanku jasa kurbanMu. Hatiku yang hancur luluh buatlah sembuh. Yesus Tuhan dengar doaku orang lain Kau hampiri jangan jalan t’rus. Kaulah Sumber penghiburan Raja hidupku. Baik di bumi baik di sorga siapa bandingMu? Yesus Tuhan dengar doaku orang lain Kau hampiri jangan jalan t’rus. Yesus Tuhan dengar doaku orang lain Kau hampiri jangan jalan t’rus.jangan jalan t’rus., https://www.youtube.com/watch?v=xfZWuVYizuQ&ab_channel=IGNITEGKI
Tuhanku Bila Hati Kawanku,Eldhy Victor,2022,EVT Music Pro,Pop,"Tuhanku bila hati kawanku Terluka oleh tingkah ujarku Dan kehendakku jadi panduku Ampunilah Jikalau tuturku tak semena Dan aku tolak orang berkesah Pikiran dan tuturku bercela Ampunilah Dan hari ini aku bersembah Serta padaMu Bapa berserah, Berikan daku kasihMu mesra. Amin amin", https://www.youtube.com/watch?v=xoP-6jEBv8k&ab_channel=EldhyVictorOfficial
Roh Kudus Kau Hadir Disini,Gloria Trio,2010,Maranatha,Pujian dan Penyembahan,"Roh Kudus Kau hadir di sini, Roh Kudus ku mengasihiMu Kau lembut, Kau manis, Kaulah penghiburku Penolongku diutus Bapaku Chorus: Ku buka hati untuk RohMu Tuhan Ku buka hati menyembahMu Yesus Jamahlah kami, penuhi kami Dengan kuasa Allah Maha Tinggi", https://www.youtube.com/watch?v=k76PR6JktFc&ab_channel=GloriaTrio-Topic
Sujud di AltarNya,Symphony Worship,2019,Symphony Worship,Pujian dan Penyembahan,"Bila hati terasa berat tak seorang pun mengerti bebanku Ku tanya Yesus, apa yang harus ku buat Dia berfirman  Mari datanglah ,Dia selalu pedulikan aku Ku datang Yesus Dia pikul s'gala bebanku..[Chorus] Sujud di altarNya ku bawa hidupku Ku t'rima anug'rahNya Dia ampuniku dan bebaskanku..Dia ubah hidupku barui hatiku Sesuatu terjadi saat datang di altarNya Ku tanya Yesus apa yang harus ku buat Ku datang Yesus Dia pikul s'gala bebanku [Chorus] Sujud di altarNya ku bawa hidupku Ku t'rima anug'rahNya Dia ampuniku dan bebaskanku, Dia ubah hidupku barui hatiku Sesuatu terjadi, saat datang di altarNya. Pemulihan terjadi Mujizat terjadi..Kemenangan terjadi, Saat datang di altarNya", https://www.youtube.com/watch?v=wNQ_ctsoUo0&ab_channel=SymphonyWorshipFamily
Mampirlah Dengar Doaku,Rohani Akustik,2010,Maranatha Indonesia,Hymne,"Mampirlah dengar doaku. Yesus penebus, orang lain Kau hampiri jangan jalan t'rus. Yesus Tuhan dengar doaku. orang lain Kau hampiri, jangan jalan t'rus. di hadapan tahta rahmat aku menyembah tunduk dalam penyesalan Tuhan tolonglah ini saja andalanku jasa kurbanku hatiku yang hancur luluh buatlah sembuh", https://www.youtube.com/watch?v=H2UxvauiGp0&ab_channel=MaranathaindonesiaOfficial
Persembahan Hati,"Yohanes Rovi, Andrewsyah",2024,Unknown,Gospel,"Allah Bapa sungguh besar kasih Mu, Engkau selalu hadir dalam setiap langkahku. Sungguh indah ku menjadi anakMu. Hidup dalam kasih Mu. Kasih yang tak ternilai. Tak sanggup aku, Membalas kasih Mu. Hanya ini Bapa yang kubisa. Reff: Bapa terimalah persembahan hatiku, Nyanyian pujian kepadaMu. Ini diriku Jadikanlah alatmu, Terimalah Bapa persembahan hati" , https://www.youtube.com/watch?v=c0tb9Msv9yA&ab_channel=YohanesRovi
Terhubung,"Connect Worship, Yeshua Abraham",2022,Connect Worship,Pujian dan Penyembahan,"Verse: Kasih-Mu layakkan s’luruh hidupku. Mampukanku melakukan yang Kau inginkan. Tak bisa ku terlepas, Kau menggenggam tanganku, Ingin lebih mengenal pribadi-Mu. Chorus: Ku terhubung dengan-Mu. S’lalu melekat di hati-Mu. Firman-Mu itulah dasar hidupku, Yang berdaulat atasku. Bridge: Tak mau ku terpisahkan dari-Mu, Aku tak bisa apa-apa tanpa-Mu. Bawaku lebih dekat, lebih dalam lagi. Outro: Firman-Mu itulah dasar hidupku. Yang berdaulat atasku", https://www.youtube.com/watch?v=9KJeGGREsyY&ab_channel=ConnectWorship
Tenanglah Kini Hatiku,Herlin Pirena,2016,Maranatha Indonesia,Hymne,"tenanglah kini hatiku, Tuhan memimpin langkahku. di tiap saat dan kerja, tetap ‘ku rasa tanganNya. Tuhanlah yang membimbingku. tanganku dipegang teguh, hatiku berserah penuh tanganku dipegang teguh. tak kusesalkan hidupku. betapa juga nasibku, sebab Engkau tetap dekat, tanganMu ‘ku pegang erat. pabila tamat tugasku, Kau berikan kemenanganMu. tak kutakuti maut seram, sebab tanganku Kau genggam", https://www.youtube.com/watch?v=8-KTHYeslP8&ab_channel=MaranathaindonesiaOfficial
Tuhan Kuatkan Aku,Yan Josua,2024,Mighty Music,Pop,"Aku tak tahu Rencana apa t'lah Tuhan siapkan. Mengapa beban dihidupku berat kurasakan, Kadang kuingin lari dari kenyataan ini. Berharap semua dapat kutinggalkan. Jalan hidupku telah Kau tulis didalam rencanaMu. akulah yang Kau pilih 'tuk jalani semua ini. Karena Kau percaya kepadaku, Bahwa aku sanggup lewati semua. Reff: Tuhan tunjukanlah kepadaku, Jalan yang harus aku lalui bersamaMu. Genggamlah erat tanganku. Tuhan berikanlah kepadaku. Kekuatan dan teguhkan aku trus melangkah, Tolonglah Tuhan kuatkan aku.", https://www.youtube.com/watch?v=4DKUBm-LwXE&ab_channel=MightyMusic
Tuhan Tahu,"Melitha Sidabutar, Clarisa Dewi, Alvin Christian, Ps. Lukas Kusuma",2021,Impact Music,Pujian dan Penyembahan,"Perhatikanlah bunga bakung di ladang Tuhan hiasi tanpa bekerja Apalagi kita orang percaya Tuhan p'lihara Tuhan cukupkan Perhatikan burung-burung di Udara. Tuhan beri makan tanpa bekerja Apalagi kita kesayangan-Nya. Tuhan p'lihara Tuhan sediakan. Saat kau perlu Tuhan tahu, Saat kau minta Tuhan dengar, Saat percaya Tuhan bekerja. Saat menangis Tuhan tahu, Saat berdoa Tuhan dengar, Saat bersyukur Tuhan berkati. Bridge : Kau Tuhan lebih dari cukup Kasih-Mu Tuhan Kau Tuhan lebih dari kata. Janji-Mu pasti terjadi. Saat menangis, Tuhan tahu, Saat kau lemah Tuhan tolong, Saat kau datang, Tuhan berkati",https://www.youtube.com/watch?v=eHmegW3znq0&ab_channel=ImpactMusicIndonesia
Yesus Kawan Yang Sejati,"Dwi Caesaria, Rusdi",2020,Daily Studios,Hymne,"Yesus Kawan yang sejati bagi kita yang lemah. Tiap hal boleh dibawa dalam doa padaNya. O, betapa kita susah dan percuma berlelah, Bila kurang pasrah diri dalam Doa padaNya. Jika oleh pencobaan kacau-balau hidupmu, jangan kau berputus asa; pada Tuhan berseru! Yesus Kawan yang setia, tidak ada taraNya. Ia tahu kelemahanmu; naikkan doa padaNya! Adakah hatimu sarat, jiwa-ragamu Lelah? Yesuslah Penolong kita; naikkan doa padaNya! Biar kawan lain menghilang, Yesus Kawan yang baka. Ia mau menghibur kita atas doa padaNya.",https://www.youtube.com/watch?v=Z3G6VLKMmlQ&ab_channel=dengardoaku 
Pribadi Yang Mengenal Hatiku,Regina Pangkerego,2022,Insight Unlimited,Pop,"Seperti rusa yang haus Rindu aliran sungaiMu Hatiku tak tahan menungguMu Bagai padang gersang Menanti datangnya hujan Begitu pun jiwaku, Tuhan Hanya Engkau Pribadi yang mengenal hatiku Tiada yang tersembunyi bagiMu Seluruh isi hatiku Kau tahu Dan bawa 'ku 'Tuk lebih dekat lagi padaMu Tinggal dalam indahnya Dekapan kasihMu..",https://www.youtube.com/watch?v=6Mgjcn1ilHg&ab_channel=SionProduction 
Ku Mau Berjalan dengan Juruslamatku - Pop Rohani KK 455 - Live,"IGNITE GKI, Ngagel Youth Community",2024,Ignite GKI Ngagel,Pop,"'Ku mau berjalan dengan Jurus'lamatku di lembah berbunga dan berair sejuk. Ya, ke mana juga aku mau mengikut-Nya. Sampai aku tiba di neg'ri baka. Ikut, ikut, ikut Tuhan Yesus; Ya, aku tetap mendengar dan mengikut-Nya. Ikut, ikut, ikut Tuhan Yesus;  Ya, ke mana juga 'ku mengikut-Nya! 'Ku mau berjalan dengan Jurus'lamatku  di lembah gelap, di badai yang menderu. Aku takkan takut di bahaya apa pun, bila 'ku dibimbing tangan Tuhanku. Ikut, ikut, ikut Tuhan Yesus; Ya, aku tetap mendengar dan mengikut-Nya. Ikut, ikut, ikut Tuhan Yesus; Ya, ke mana juga 'ku mengikut-Nya! Ya, ke mana juga Ya, ke mana juga Ya, ke mana juga 'ku mengikutNya!",https://www.youtube.com/watch?v=eoDuC4P4eAM&ab_channel=IGNITEGKI 
Manis Kau Dengar,Debbie Great,2023,Maranatha Indonesia,Pop,"Ya Tuhanku aku hendak bernyanyi bagiMu Selama ku hidup Ya Allahku aku hendak bermazmur bagiMu Selagi ku ada Inilah yang kurenungkan setiap Waktu Nyanyian pujian dan pengagungan kepadaMu Biarlah manis Kau dengar, Tuhan Manis Kau dengar, Tuhan Dan hatiku bersuka kar'naMu Ya Tuhanku aku hendak bernyanyi bagiMu Selama ku hidup Ya Allahku aku hendak bermazmur bagiMu Selagi ku ada Inilah yang kurenungkan setiap waktu Nyanyian pujian dan pengagungan kepadaMu Biarlah manis Kau dengar, Tuhan Manis Kau dengar, Tuhan Dan hatiku bersuka kar'naMu Biarlah manis Kau dengar, Tuhan Manis Kau dengar, Tuhan Dan hatiku bersuka Dan hatiku bersuka Dan hatiku bersuka kar'naMu", 
JADIKAN HATIKU ISTANA CINTAMU,"Gery, Gany",2021,Unknown,Pujian dan Penyembahan,Siapakah aku dihadapanMu Tuhan? Kau curahkan cintaMu Apakah artiku bagiMu CintaMu setia selalu Pantaskah kumenyambut tubuh darahMu Karena banyak dosaku Sering ku ingkari cintaMu Dalam langkah hidupku Ampunilah aku ampuni kalemahanku Ampuni dosaku dalam kerahimanMu Agar ku mampu wartakan kasihMu Di dalam hidupku Bersihkan hatiku dengan sucinya cintaMu Jadikan hatiku istana cintaMu Tempat yang layak untuk bersemayam Tubuh dan darahMu, https://www.youtube.com/watch?v=d5ZC8KKXxW0&ab_channel=DebbieGreat
Tuhan Yang Tak Terbatas,Jason,2017,Impact Music,Pop,"Dalam nama Yesus, kudapatkan kemenanganku Dalam nama Yesus, kudapat jawabanku Dalam nama Yesus, kudapatkan kekuatanku Dalam nama Yesus, kudapat jawabanku Kupuji Kau Tuhan yang tak terbatas KuasaMu nyatakan di hidupku Dalam Yesus pasti ada Mujizat AnugerahMu terjadi bagiku", https://www.youtube.com/watch?v=Pk5mp9x5eoU&ab_channel=ImpactMusicIndonesia
Mengenal-Mu,JPCC Worship,2018,Insight Unlimited,Pop,"BILA KUBUKA MATAKU DAN LIHAT WAJAHMU KU TERKAGUM BILA KULIHAT HIDUPKU DAN KARYA TANGANMU KU TERSANJUNG KAR'NA SEMUA YANG BAIK DALAM HIDUPKU ITULAH KARYAMU KAU B'RI KESEMPATAN YANG BARU DAN KUINGIN MENGENALMU TUHAN LEBIH DALAM DARI S'MUA YANG KUKENAL TIADA KASIH YANG MELEBIHIMU KU ADA UNTUK MENJADI PENYEMBAHMU",https://www.youtube.com/watch?v=xDFx4flfzUM&ab_channel=JPCCWorship-Topic 
Ampuni Aku Tuhan,Gaby Bettay,2021,Sion Production,Pujian dan Penyembahan,Ampuni aku Tuhan Dari sgala dosaku Lepaskan semua ini Derita yang kurasa Kirimkan aku Tuhan Malaikat penghibur hati Agar tentram jiwaku ini Tuk jalani hidupku Jadikan aku Tuhan Sperti yang Kau mau Bimbing setiap langkahku Di jalan yang benar Ajari aku Tuhan Untuk mengasihi Jadikanlah diriku Orang yang berguna..,https://www.youtube.com/watch?v=0NMEz3gKAKM&ab_channel=SionProduction 
Selalu Ada Jalan,Putri Siagian,2021,Sion Production,Pop,Ketika jalan kulalui Berputar di padang gurun Engkaulah yang memelihara Hidupku sempurna Ketika jalan yang kutempuh Berujung di sungai dalam Engkaulah yang mengeringkannya Untuk kuseb'rangi Selalu ada jalan Saat seakan tiada jalan S'bab Tuhan ada di depanku Membuka jalan bagiku Selalu ada jalan Dimana ada kemauan Biarlah ku hidup selalu Di jalan yang Kau tunjukkan kepadaku.. Ketika jalan yang kutempuh Berujung di sungai dalam Engkaulah yang mengeringkannya Untuk kuseb'rangi Selalu ada jalan Saat seakan tiada jalan S'bab Tuhan ada di depanku Membuka jalan bagiku Selalu ada jalan Dimana ada kemauan Biarlah ku hidup selalu Di jalan yang Kau tunjukkan kepadaku.. Selalu ada jalan Saat seakan tiada jalan S'bab Tuhan ada di depanku Membuka jalan bagiku Selalu ada jalan Dimana ada kemauan Biarlah ku hidup selalu Di jalan yang Kau tunjukkan kepadaku.., https://www.youtube.com/watch?v=oEBCNGvdAqk&ab_channel=SionProduction
Sampaikan Pada Yesus,Melitha Sidabutar,2021,Impact Music,Pop,Saat dunia kecewakan Dan tak ada satupun yang peduli Dia peduli Saat dunia menyakitkan Bahkan yang terdekat pergi meninggalkanku Dia ada Sampaikan pada Yesus Segala beban hidupmu Dia hanya sejauh doa Saat kau berseru Sampaikan pada Yesus Dia mengerti hatimu Dia mengerti air matamu Dan memulihkanmu, https://www.youtube.com/watch?v=fLkr7r09y88&ab_channel=ImpactMusicIndonesia
Walau Seribu Rebah,Nikita,2007,Maranatha Indonesia,Penyembahan,tiada pernah kuragukan kasih setiaMu ya Tuhan setiap waktu dalam hidupku tak pernah Kau tinggalkan meski langit tampak suram awan gelap pun menghadang hadapi badai lewati gelombang tak pernah Kau tinggalkan diriku walau seribu rebah disisiku Kau tetaplah Allah penolongku walau sepuluh ribu rebah dikanan ku takkan ku goyah s'bab Yesus sertaku,https://www.youtube.com/watch?v=M2JHJOq8wEg&ab_channel=MaranathaindonesiaOfficial 
Oleh Kuasa Darahmu,Nikita,2004,Maranatha Indonesia,Pujian dan Penyembahan,saat ku masuk kehadiratMu bawa persembahan ketempat kudusMu pujian kunaikkan sembah ku berikan bagiMu Allah yang mulia Kau layakkan ku menghampiriMu melihat tahta kemuliaanMu Tuhan pujian kunaikkan sembah ku berikan bagiMu Allah yang mulia oleh kuasa darahMu Kau telah tebus dosaku kekudusanMu melingkupi kasihMu mengalir memulihkan hidupku sungguh besar anugerahMu Kau selamatkan hidupku ku menjadi ciptaan yang baru oleh kuasa darahMu.,https://www.youtube.com/watch?v=GMJxj7mYfnc&ab_channel=MaranathaindonesiaOfficial 
Ku Perlukan Juruselamat,Yan Berlin Panjaitan,2010,Maranatha Indonesia,Hymne,kuperlukan juru selamat agar janganku sesat selalu harus kurasakan bahwa Tuhanku dekat maka jiwaku tenang takkan takut dan enggan bila Tuhanku membimbing ku di malam pun tentram kuperlukan juru selamat karena imanku lemah hiburanNya menguatkan sungguh tiada bandingnya kuperlukan juru selamat dalam langkah juangku siang malam suka duka dengan Tuhan kutempuh,https://www.youtube.com/watch?v=tr4r3P5F87c&ab_channel=MaranathaindonesiaOfficial 
S'perti Rusa Rindu Sungai Mu,Debbie Great,2022,Unknown,Pujian dan Penyembahan,Sperti rusa rindu sungaiMu Jiwaku rindu Engkau Kaulah Tuhan hasrat hatiku Kurindu menyembahMu Engkau kekuatan dan perisaiku Kepadamu rohku berserah Kaulah Tuhan hasrat hatiku kurindu menyembahMu Yesus Yesus Kau berarti bagiku Yesus Yesus Kau segalanya bagiku Sperti rusa rindu sungaiMu Jiwaku rindu Engkau Kaulah Tuhan hasrat hatiku Kurindu menyembahMu Engkau kekuatan dan perisaiku KepadaMu rohku berserah Kaulah Tuhan hasrat hatiku Kurindu menyembah-Mu Yesus Yesus Kau berarti bagiku Yesus Yesus Kau segalanya bagiku Yesus Yesus Kau berarti bagiku Yesus Yesus Kau segalanya bagiku Kau segalanya bagiku Kau segalanya bagiku,https://www.youtube.com/watch?v=AcDzPUyQyQ0&ab_channel=DebbieGreat 
MenyenangkanMu,Regina Pangkerego,2010,Maranatha Indonesia,Pujian dan Penyembahan,"Tuhan ku mau menyenangkanMu Tuhan bentuklah hati ini jadi bejana untuk hormatMu cemerlang bagai emas murni Tuhan ku serahkan hatiku semua kuberikan padaMu kuduskan hingga tulus selalu agar aku menyenangkanMu MenyenangkanMu, senangkanMu hanya itu kerinduanku menyenangkanMu, senangkan hatiMu hanya itu kerinduanku",https://www.youtube.com/watch?v=K3Xdw6wTHhw&ab_channel=MaranathaindonesiaOfficial 
Bapa Yang Kekal,Joy Tobing,2009,Unknown,Pujian dan Penyembahan,"Kasih Yang Sempurna, Telah kutrima dari-Mu, Bukan karena kebaikanku, Hanya oleh kasih karunia-Mu, Kau pulihkan aku, layakkanku, Tuk dapat memanggil-Mu, Bapa. Reff. Kau bri yang kupinta, Saat kumencari kumendapatkan, Kuketuk pintu-Mu dan Kau bukakan, Sbab Kau Bapaku, Bapa yang kekal. Takkan Kau biarkan, Aku melangkah hanya sendirian, Kau selalu ada bagiku, Sbab Kau Bapaku, Bapa yang kekal.",https://www.youtube.com/watch?v=nI8htqoqcqQ&ab_channel=faithhopelove777777 
